text,label
last last last one,3
X,2
KEKW,1
LUL,1
x,2
Bites the Dust no. 29,3
Last one,3
OMEGALUL,1
cdawgClap cdawgClap cdawgClap,1
guys last one modCheck guys last one modCheck guys last one modCheck guys last one modCheck,4
nagWeird nagWeird,2
LAST 50,8
COPIUM,7
Ayo?,9
"""the last one"" spoiler: it's a lie",2
my points,6
?????????????????????????????? bruu,4
Kappa,8
ffs connor,9
cdawgYare cdawgYare cdawgYare cdawgYare cdawgYare cdawgYare cdawgYare ðŸ¤ŒðŸ¤ŒðŸ¤ŒðŸ¤Œ,9
You can only break so many promises before you break my heart,9
ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown,7
Press X for doubt,2
COPIUM Clap,7
promise????????,4
last one,3
don't believe his lies,2
no,7
I remember connor saying he will only stream for 30 minutes...,9
last one I P R O M I S E,8
ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop,1
ironmouseLUL ironmouseLUL ironmouseLUL ironmouseLUL,7
"COPIUM actual last one, seriously, this is the last one. COPIUM",7
lastone_final_final2_FINAL,3
Connor STAHP,9
ironmouseLetsgo ironmouseLetsgo ironmouseLetsgo ironmouseLetsgo ironmouseLetsgo ironmouseLetsgo ironmouseLetsgo ironmouseLetsgo,1
cdawgX cdawgX cdawgX cdawgX cdawgX cdawgX cdawgX cdawgX cdawgX cdawgX,2
How many COPIUM this man inhaled?,4
last one but its the 60th time,8
your promises aren't worth anything right now,2
WRITES IN DEATH NOTE: FALLS,8
XXXX,2
ironmouseKEK ironmouseKEK ironmouseKEK ironmouseKEK ironmouseKEK ironmouseKEK,1
WOOOOOOO SUPER Kappa,8
promises not fulfilled,3
ironmouseKEK ironmouseKEK ironmouseKEK ironmouseKEK ironmouseKEK,1
JUST STOP PRETENDING BRO,3
StinkyGlitch StinkyGlitch StinkyGlitch StinkyGlitch StinkyGlitch StinkyGlitch,1
BRUUUUHHHHHHHHHHHHHHHHHHHHHH pls,7
you promised ironmouseSTARE,10
YOOOO TRUST LEVEL IS GOING DOWN SOOOOOOO FAAAAAAAASSST NotLikeThis NotLikeThis NotLikeThis NotLikeThis NotLikeThis NotLikeThis NotLikeThis NotLikeThis NotLikeThis,2
ironmouseSTARE ironmouseSTARE ironmouseSTARE ironmouseSTARE,10
ironmousePop,1
nagX,2
ironmouseSUFFER ironmouseSUFFER ironmouseSUFFER ironmouseSUFFER ironmouseSUFFER ironmouseSUFFER,2
its day 17!!,0
I just left for 10 minutes and he's still sayinf it's the last one LUL,1
X to doubt KEKW JESUS SAYS NO,2
big X,2
sure,6
!uptime,6
turns into troll scream,3
ironmousePop  nymnCorn,1
LAST ONE PART 9,6
We hv been lied to so many times,10
Korega Reqiuem da,6
NotLikeThis NotLikeThis,2
yes a history of pain,7
NotLikeThis NotLikeThis NotLikeThis,2
he promised us... he betrayed our trust...,2
ironmouseSTARE ironmouseSTARE ironmouseSTARE ironmouseSTARE ironmouseSTARE ironmouseSTARE,10
Diavolo Stream?,4
"bestgamer121314 subscribed with Prime. They've subscribed for 2 months, currently on a 2 month streak! ",0
ironmouseANGY ironmouseANGY ironmouseANGY ironmouseANGY ironmouseANGY ironmouseANGY,2
FALL,2
'x,2
"""1 last time: -Connor dawg 2022 Kappa",8
lumituDerpmi lumituDerpmi lumituDerpmi lumituDerpmi lumituDerpmi lumituDerpmi,1
nagDrink nagDrink nagDrink nagDrink,3
"DO CONNOR KNOW THE DEFINITION OF ""LAST""?",4
I actually donâ€™t know what to say at this pointâ€¦.,6
huge X,2
hi youtube HeyGuys,6
Here we have it folks â€¦. give it up for CDawgVA starring in Deathloop raddoeHey,6
ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop,1
"""he's lying 'cause his lips move"" LUL NotLikeThis",1
ironmouseSUFFER ironmouseSUFFER ironmouseSUFFER ironmouseSUFFER ironmouseSUFFER,2
what does 'x' mean?,4
FALLING,3
:P,3
it not the last one,3
ok,6
Good advice,1
Fastest reset in the west,6
Guys last one COPIUM Guys last one COPIUM Guys last one COPIUM Guys last one COPIUM Guys last one COPIUM Guys last one COPIUM Guys last one COPIUM Guys last one COPIUM,7
History of the most resets in a single stream xirbieOMEGAROLL xirbieOMEGAROLL xirbieOMEGAROLL xirbieOMEGAROLL,1
L A S T                            O N E,6
connor pls stop torturing your self,9
ironmouseWiggly ironmouseWiggly ironmouseWiggly ironmouseWiggly ironmouseWiggly ironmouseWiggly ironmouseWiggly ironmouseWiggly ironmouseWiggly ironmouseWiggly,0
THIS IS GONNA LAST LONGER THAN MOUSES SUBATHON FFS MONKE,9
NotLikeThis,2
relax connor dw about the timer,9
ironmouseMonkehug ironmouseMonkehug ironmouseMonkehug ironmouseMonkehug,1
my channel points ironmouseDED ironmouseDED,7
"jump king, jump",1
ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown,7
HI YOUTUBE HES DUMB THAN YOU THINK,6
actually bad advuce,2
what are these donos LUL,1
This had to be a quick run,3
cdawgHmmm,4
INFINITE Kappa,8
FALLS,3
ironmouseBUBIHEAD ironmouseBUBITUMMY ironmouseBUBITAIL,1
CB mentality,6
but either with jumps LUL Kappa,1
x46cmHello x46cmHello x46cmHello,6
we need a one last try montage,3
NA dono,6
ironmouseANGY ironmouseANGY ironmouseANGY ironmouseANGY ironmouseANGY,2
i woke up to suffering,2
PepeLaugh,1
U CAN'T KEEP GOIN WITH THIS AMOUNT OF COPIUM,7
actual torture dude staaap,2
ironmouseKEK ironmouseKEK ironmouseKEK ironmouseKEK ironmouseKEK ironmouseKEK ironmouseKEK,1
ironmouseSUFFER ironmouseSUFFER ironmouseSUFFER ironmouseSUFFER ironmouseSUFFER ironmouseSUFFER ironmouseSUFFER ironmouseSUFFER ironmouseSUFFER,2
kekw,1
ironmouseKEK ironmouseKEK,1
ironmouseLetsgo ironmouseLetsgo ironmouseLetsgo ironmouseLetsgo,1
food poisoning is a lifestyle,6
NIAGARA FALLIN,1
ironmouseWTF ironmouseWTF ironmouseWTF ironmouseWTF ironmouseWTF ironmouseWTF,5
10 secs is generous,3
10 sec COPIUM,7
ironmouseSippy ironmouseSippy,1
falling,3
FALL KING,8
nagPopcorn nagDrink nagDrink,3
"@dcduelist we meme review is done, he's doing prep for the jump king fan dlc",6
PROGRESS,6
you can't keep going with bad jumps,6
MUSIC'S JUST BEEPS AND BOOPS,10
Man's built a tolerance to COPIUM at this point.,7
LMAOO THE DUDE GAVE HIM MONEY FOR TEXT TO SPEECH AND THEN FCKN SHAT ON HIM,1
20 seconds behind now,6
ironmouseKEK ironmouseKEK ironmouseKEK ironmouseKEK ironmouseKEK ironmouseKEK ironmouseKEK ironmouseKEK,1
STEAK MID,6
what a clown,5
i need more COPIUM than the avarege person,7
BRO MY PHONE IS ABOUT TO DIE BRO,9
BREAD TASTE,1
I dont think he is he just wants to make content for us,4
"""IF""",8
reset stream,3
just reset it already,3
This is the easy part you monke,9
ironmouseLetsgo,1
@boiledwat3rr welcome to CDawgVA's twitch channel,6
COPIUM make him fall gacha gods KEKW,7
HE FALLS HERE NO CAP,6
Big if,8
ironmouseLetsgo ironmouseLetsgo ironmouseLetsgo,1
big if true,8
@oppoazorigin SAME,6
what's jump king wr?,4
PepeLaugh ðŸ‘‡,1
Stop reading us for a sec and focus,3
KEKW THERE WE GO,1
pogostuck wr when Kappa,8
Cope,7
@memories_of_remy Nailed it,6
Fall in 3... 2... 1....,9
Wait when did mousy end her stream???,4
rip my points,9
"You can still PB, finish the run!",3
jibunn wooo,1
30 seconds behind?,4
DOWN OMEGALUL,1
@Asamiii_lane about 4h ago,6
Do it for the believers!,3
MercyWing1 ironmouseSUFFER MercyWing2,2
DESCEND MONKE,9
cdawgPepegaaim cdawgPepegaaim cdawgPepegaaim cdawgPepegaaim,8
just finish the run once connor im begging you,3
Keep Strong!,3
SLIP AND FALL,3
ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop,1
cope,7
ironmouseDERP,4
@shukero Thanks for the gift sub!,6
You can do it!! ironmouseRAID ironmouseRAID,3
!pb,6
Connor's Jump King Any% PB is 12:19,6
x2ka2kPog2 x2ka2kPog2 x2ka2kPog2 x2ka2kPog2 x2ka2kPog2 x2ka2kPog2 x2ka2kPog2 x2ka2kPog2 x2ka2kPog2 x2ka2kPog2 x2ka2kPog2,1
ironmouseKEK ironmouseKEK ironmouseKEK,1
!donate,6
"If you'd like to throw a few bucks towards Connor's way, donate here! https://streamlabs.com/cdawgva/tip (Minimum tip of $5 for your donation to pop up on stream!)",0
ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop,1
"good night chat and connor, you can do it",1
ironmouseBUBIHEAD ironmouseBUBITUMMY ironmouseBUBITUMMY ironmouseBUBITUMMY ironmouseBUBITAIL,0
what happened after the 69th pole?,4
fall king VA,8
Just don't rush in the wind area,3
ironmouseJam ironmouseJam ironmouseJam,1
JUST END MY SUFFERING,10
ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop,1
ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop,1
"@lominary They won't get this, they're still in denial",6
this,0
BACKSEATING ANDY,3
ironmouseSleep,6
@Asamiii_lane ohhhh I see,6
true,6
ironmousePop ironmousePop ironmousePop ironmousePop,1
backseating KEKW,1
dono stop backseating,3
Ok,6
DONO ironmousePop,1
Tru,0
he's in the zone,6
Cringe,7
Pog,1
Cheer1000 Good luck with the runs king,1
this a actual good run u know,6
ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop,1
POGGERS,1
backseater KEKW,1
advice Andy BatChest,1
take a seat connie,3
That was clean yo,6
U GOT THIS CONNOR,9
ironmouseBUBIHEAD ironmouseBUBIHEAD ironmouseBUBIHEAD ironmouseBUBIHEAD ironmouseBUBIHEAD ironmouseBUBIHEAD ironmouseBUBIHEAD ironmouseBUBIHEAD ironmouseBUBIHEAD ironmouseBUBIHEAD ironmouseBUBIHEAD ironmouseBUBIHEAD ironmouseBUBIHEAD,1
it is true,6
ironmousePOGGERS,5
ironmousePop ironmousePop,1
pog lkeep goingg,1
ironmouseWiggly ironmouseWiggly ironmouseWiggly ironmouseWiggly ironmouseWiggly ironmouseWiggly ironmouseWiggly ironmouseWiggly,0
iS HE GONNA MAKE IT?!!,4
ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop,1
ironmousePop pop for world record,1
ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown,7
ironmousePop  ironmousePop    ironmousePop    ironmousePop    ironmousePop    ironmousePop    ironmousePop    ironmousePop    ironmousePop    ironmousePop    ironmousePop,1
you got this bro,6
You got this! get that PB!,3
ironmouseWow,5
ironmouseSHRUG ironmouseSHRUG ironmouseSHRUG,1
"gettin kfc, u want anything?",4
ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop,1
backseat gamers so cringe,7
backseating?,4
cdawgWhat,4
he a non-believer scared of losing his points LUL,1
ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmouseCheer ironmouseCheer,1
CRINGE DONO,7
ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop,1
ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop,1
ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop,1
HES CRACKED!,5
ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown,7
It's pretty insane the the wr is less than 4 min,6
Focused like his life depends on it,6
Monke gaming,9
cdawgHmmm cdawgHmmm cdawgHmmm cdawgHmmm cdawgHmmm,4
"at least if you think this is a dead run, just finish it to see if it really is dead",3
poooooog,1
phew,0
chiCKEN AINT CARTILAGE,6
he's on fire,3
ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop,1
CRINGE DONNOS,9
ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop,1
are ya winning son,4
that was close,6
Hello snow maps our old friend,6
cdawgHmmm cdawgHmmm cdawgHmmm,4
ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop,1
"THIS COULD BE IT , THIS COULD BE IT",3
ironmouseHANDSUP ironmouseHANDSUP ironmouseHANDSUP ironmouseHANDSUP ironmouseHANDSUP ironmouseHANDSUP ironmouseHANDSUP,1
cdawgPog,1
TAKE YOUR TIME,3
UR CRACKED AF,7
YOU CLEARLY HAVE AN ADDICTION,3
ironmousePop  ironmousePop    ironmousePop    ironmousePop    ironmousePop    ironmousePop    ironmousePop    ironmousePop    ironmousePop    ironmousePop,1
POG,1
ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown,7
I bolieeeve,1
jump,3
ironmouseWiggly lumituWiggly ironmouseWiggly lumituWiggly ironmouseWiggly lumituWiggly,0
ironmouseScared ironmouseScared ironmouseScared ironmouseScared ironmouseScared,2
nice nice,1
LESGOOOOOOOOOOOOOOOO CONNOR U GOT THIS MAN,1
yesss,1
ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop,1
Hiii,6
ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop,1
cdawgPepegaaim cdawgPepegaaim,8
letsgoooo,1
ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop,1
POGGGGG,1
ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop,1
ironmouseLetsgo ironmouseLetsgo ironmouseLetsgo ironmouseLetsgo ironmouseLetsgo,1
ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle,0
shiiiii,0
ironmousePop shyyBop ironmousePop shyyBop ironmousePop shyyBop ironmousePop shyyBop ironmousePop shyyBop ironmousePop shyyBop ironmousePop shyyBop ironmousePop shyyBop ironmousePop shyyBop,1
LETS GOOO,1
ironmouseMeltdown ironmousePop ironmouseMeltdown ironmousePop ironmouseMeltdown ironmousePop ironmouseMeltdown ironmousePop ironmouseMeltdown ironmousePop ironmouseMeltdown ironmousePop ironmouseMeltdown,7
PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp,1
ironmouseDED fillyRIP ironmouseDED fillyRIP ironmouseDED fillyRIP ironmouseDED fillyRIP ironmouseDED fillyRIP ironmouseDED fillyRIP,7
come on connor,3
AYO?,9
"THIS IS IT, THE LONG WAITED RUB",6
ACTUALLY CRACKED,6
ironmouseLetsgo ironmouseLetsgo,1
POG ?,4
PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp,1
LET'S GOOOO,1
ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle,0
PogChamp PogChamp PogChamp,1
Prayge,3
Is this the one??,4
PogChamp,1
The boy is CLEEEAN,3
CLEAAAN,3
OK LET'S GOOOO,1
ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle,0
@lutefiiisk cuz hes a diva and doesnt want to play when everyone else is playing it,6
ironmouseWiggly ironmouseWiggly ironmouseWiggly ironmouseWiggly ironmouseWiggly ironmouseWiggly ironmouseWiggly,0
cdawgNani cdawgNani cdawgNani cdawgNani cdawgNani cdawgNani,4
no raging connor,6
he doin it?,4
"You can do it Monke, Do it for the Belivers!",9
so many emotes,10
cjyaBless cjyaBless cjyaBless,1
YES,6
ironmouseLetsgo ironmouseLetsgo ironmouseLetsgo ironmouseLetsgo ironmouseLetsgo ironmouseLetsgo,1
COME ON,1
nice one,1
POGGERS he's doing it,1
Hiiiiiiiii,6
just 2 more,3
ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle ironmouseWiggly yyjWiggle,0
U got this,1
are we back to this?,4
CMON,2
calm,3
KomodoHype KomodoHype KomodoHype KomodoHype KomodoHype KomodoHype KomodoHype,5
GO CONNOR GO CONNOR GO,1
Can you play ringfit???,4
OMG,5
LETS GOOOOOO,1
YESSSSSSSSSS,1
lets go gamers,1
histowy? ironmouseOwo,1
checkpoint!!!!,3
ironmouseKEK ironmouseKEK ironmouseKEK ironmouseKEK ironmouseKEK ironmouseKEK ironmouseKEK ironmouseKEK ironmouseKEK ironmouseKEK ironmouseKEK ironmouseKEK ironmouseKEK ironmouseKEK ironmouseKEK,1
let's gooooo,1
KomodoHype KomodoHype KomodoHype KomodoHype,5
PogBones,5
LESGOOOOOOOOOOOOO,1
LETS GO,1
noice,10
YESSSSSS,1
ongDisco ongDisco ongDisco,5
let's gooo,1
LETS GOOOOOOOOOO,1
LESGOOOOO,1
AYO ACTUALLY THIS MIGHT BE IT,9
yoooo,9
POGGG,1
There we goooo,1
gg wp,1
PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp,1
CHECKPOINT POGGerS,1
YOOOOOOO,9
OWL2019CDH1 OWL2019CDH1 OWL2019CDH1 OWL2019CDH1,6
poggers,1
pog?,4
POGGERSSSD,1
he gaming PogChamp,1
yyyyyyeeessss,1
YESSSSS cdawgClap cdawgClap cdawgClap cdawgClap cdawgClap cdawgClap,1
ironmouseWiggly ironmouseWiggly ironmouseWiggly ironmouseWiggly ironmouseWiggly,0
HES DOING IT,6
Is this it????,4
jump king moment,1
lllllllllllleeeeeeeeeeeeeeeeetttttttttttssssssssssssssssss GO,1
yoooooo,9
HOPIUM,7
CHANDELIER LUL,1
ironmouseWiggly ironmouseWiggly ironmouseWiggly ironmouseLetsgo ironmouseWiggly ironmouseWiggly ironmouseWiggly,0
LETS FUCKING GOOOOOOO,1
ironmouseLetsgo ironmouseLetsgo ironmouseLetsgo ironmouseLetsgo ironmouseLetsgo ironmouseLetsgo ironmouseLetsgo ironmouseLetsgo ironmouseLetsgo,1
THIS IS IT,6
poooooooog,1
YESSSSSSSSSSS,6
PogChamp PogChamp PogChamp PogChamp,1
cdawgClap cdawgClap cdawgClap cdawgClap cdawgClap cdawgClap cdawgClap cdawgClap cdawgClap cdawgClap cdawgClap cdawgClap cdawgClap,1
CDawgPOG,1
Clean,3
my points NotLikeThis,2
PogChamp RyuChamp,1
ironmouseWiggly,0
POOOG,1
GET THAT LET'S GOOOO,1
monkaW,9
lets goo,1
fillyBlankies lumituJam fillyBlankies lumituJam fillyBlankies lumituJam fillyBlankies lumituJam,1
POGG,1
Damn,10
YO,9
pog,1
now Donors time for Chandiliers,3
BOOSTED,6
